[1.01763421 0.90772137]
[0.35670219 1.03879387]
[0.13206036 0.64953466]
[0.06076426 0.57478726]
[0.05903242 0.54593957]
[0.08160536 0.60545738]
[0.07936712 0.56924543]
[0.13764114 0.64005701]
[0.11084966 0.64780161]
[0.15024257 0.8436641 ]
[0.11611305 0.82464649]
[0.06705852 0.60668461]
[0.10520057 0.63311107]
[0.16003527 0.77375824]
[0.2282383  1.02990008]
[0.10269898 0.64417151]
[0.12458566 0.63465809]
[0.10408264 0.5845435 ]
[0.1786258  0.98412289]
[0.15454502 0.93826562]
[0.10999901 0.63908126]
[0.08499694 0.60352185]
[0.09809691 0.58466173]
[0.14116902 0.83827918]
[0.17680294 0.94732301]
[0.09608405 0.52465455]
[0.11968266 0.67939313]
[0.09461916 0.63425679]
[0.08544127 0.58249038]
[0.13132202 0.91206328]
[0.18709509 0.88002622]
[0.13123731 0.59711312]
[0.1082279  0.63113238]
[0.15687221 0.92569847]
[0.29545136 1.05873631]
[0.10180989 0.59528456]
[0.10490742 0.64489808]
[0.14375829 0.65457772]
[0.69480789 0.13568579]
[0.11415315 0.66293856]
[0.13548952 0.52611191]
[0.27376886 1.03571249]
[0.31007028 1.03544748]
[0.27806034 1.01855057]
[0.119513  0.9331208]
[0.19848629 1.04968344]
[0.27377994 0.99258243]
[1.27093367 0.29616474]
[0.63132515 0.08809047]
[0.44389122 0.09035576]
[0.52974244 0.10626633]
[0.9879776  0.15271522]
[1.29204497 0.28039672]
[0.98220664 0.23534919]
[0.1570468 0.7260345]
[0.84975277 0.15535572]
[0.87801372 0.17617129]
[1.28607937 0.34174008]
[0.2885208  1.02768283]
[0.73160132 0.15104879]
[1.17639511 0.214405  ]
[0.82989529 0.18085639]
[0.3121028  0.97480881]
[1.26299881 0.32502534]
[0.73281428 0.11863044]
[0.86545011 0.1169975 ]
[1.28794911 0.19063814]
[0.24898815 0.88048746]
[0.7278609  0.12666666]
[1.21269488 0.2818754 ]
[1.01888191 0.18795353]
[1.01278983 0.15870565]
[0.16733042 0.82598555]
[1.71297192 0.2461695 ]
[1.33278161 0.11943963]
[0.90422247 0.17637546]
[0.46356314 1.11930251]
[1.07293707 0.23393488]
[1.08079568 0.17273216]
[0.77404764 0.08750964]
[1.66081088 0.18317812]
[3.2695857  0.16302962]
[1.23918532 0.17811629]
[0.31422325 1.09434958]
[0.31661452 1.05501799]
[1.03104254 0.32811363]
[0.29837008 1.07633025]
[0.25566019 0.9989921 ]
[0.41348716 1.28778276]
[5.87239003 0.29731838]
[1.96289744 0.15221636]
[0.80773069 0.16484141]
[0.14143913 0.68349084]
[0.20521483 1.07719425]
[0.25172042 0.87693663]
[0.16209601 0.57069165]
[0.94445923 0.16828641]
[0.29825956 1.0527917 ]
[8.95401757 0.43235925]
[2.91947463 0.19721815]
[0.28798434 1.03082232]
[0.11934998 0.60166515]
[0.59639725 0.10220563]
[0.70024634 0.12778068]
[0.80090657 0.10380501]
[2.28488521 0.19398101]
[3.21843837 0.17884703]
[9.19210558 0.20651683]
[11.80204619  0.36289648]
[4.21873794 0.3399648 ]
[1.21969672 0.26460827]
[0.60812195 0.11187248]
[0.16589103 0.93702647]
[0.8680883  0.19236253]
[1.19129496 0.25127341]
[0.57317838 1.02566781]
[9.13586172 0.24461401]
[8.15654493 0.20024532]
[15.33680751  0.41854759]
[13.66588487  0.48750681]
[4.52091156 0.34445109]
[0.43815388 1.15633032]
[0.27486619 0.91545201]
[0.33854958 0.73408325]
[0.27735367 0.93285118]
[0.54907604 1.05668889]
[0.94640079 2.09401209]
[16.03783005  0.4349715 ]
[14.97528061  0.34387331]
[15.43023582  0.33649251]
[18.0982775   0.49086551]
[14.58990394  0.30371344]
[5.66711387 0.29603077]
[6.01749808 0.19782968]
[0.37045358 2.98641015]
[8.51806657 0.40064945]
[0.16443167 0.99196574]
[6.96918793 0.18542332]
[9.01545977 0.19965473]
[15.82879004  0.30437995]
[18.35043545  0.36736876]
[17.20875887  0.47209315]
[17.52929628  0.55897987]
[18.72214496  1.08622685]
[18.04636815  0.79474808]
[1.08909317 2.04808935]
[14.25204899  0.34332236]
[4.41122764 0.13803087]
[8.24242446 0.28866239]
[17.66102699  0.51901133]
[11.77419936  0.8620693 ]
[17.8639319   0.62841364]
[18.61265556  0.68757826]
[18.68408567  1.57785882]
[18.90129057  1.45728052]
[18.50043855  0.49643977]
[18.34641176  0.44556415]
[18.79440529  0.43212858]
[18.81708879  0.4924058 ]
[17.87839347  0.61937859]
[18.19820293  1.58833457]
[ 2.44544816 12.59221029]
[2.08955075 9.65843268]
[ 3.10307701 13.68983403]
[17.83757584  3.16675443]
[16.57077725  0.66391532]
[18.69372777  0.65849268]
[18.51041766  1.0975514 ]
[18.84769955  4.20385035]
[18.88217124  0.50337206]
[18.89608304  0.73117958]
[18.70208395  1.20041638]
[18.77816563  3.57891399]
[18.66905107  6.22570318]
[18.77755457  5.24901126]
[18.63182202  3.7916715 ]
[18.83166606  2.99691184]
[18.68136243  0.66536915]
[18.87084964  1.76995403]
[15.43013099  0.34534798]
[18.8227399   1.40098835]
[ 6.8626954  16.55185537]
[18.87334442  3.67826067]
[18.87561757 15.11840485]
[18.73124745 16.49398814]
[18.60001532 16.00198272]
[18.92852078  9.24117834]
[18.72666823  5.67309956]
[18.82492054  4.51328155]
[18.88456663  5.15703659]
[18.44772716  7.00403802]
[18.83225677  9.04868786]
[18.82319307  5.69568647]
[18.66250717  4.13754745]
[18.625275   10.90458537]
[18.71863552 13.60218164]
[18.7298224 15.7824702]
[18.71928666 17.99234661]
[18.04777732 18.69415075]
[18.83968774 12.71067099]
[18.71780545 10.35364185]
[18.85436094 14.40979796]
[18.81887234 18.5133402 ]
[18.77426564 18.43811824]
[18.7103662  18.28791321]
[18.88270723 18.37367743]
[18.71751223 11.84838091]
[ 7.73527177 18.80455721]
[18.84912026  7.01391654]
[18.75686746 17.0435355 ]
[18.79642375 14.55417552]
[19.00607097 18.43034138]
[18.39347765 18.75661999]
[18.86334816 18.42714789]
[18.40376293 18.84418641]
[18.40187128 18.73557776]
[18.9085659  18.21883619]
[18.90435019 17.99004462]
[18.86747447 18.48689132]
[18.8028687  18.38790465]
[18.60266529 18.41178885]
[18.89009942 18.38126824]
[18.93525615 18.42116764]
[18.82122829 18.32955133]
[18.53171519 18.82150441]
[18.41633293 18.73729683]
[18.78714895 18.36856587]
[18.67422234 18.32428534]
[18.73299558  9.4919125 ]
[18.50532405 18.33014767]
[18.7410335  18.39020022]
[18.40927005 18.7098766 ]
[18.90822711 18.42514674]
[18.72261819 14.27154404]
[18.98633176 18.32576837]
[18.92104399 18.58579861]
[18.30404483 18.74548204]
